date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:17	69/69	---M-Z	200	added ('OK')	text/plain	date:Wed,%2002%20Sep%202020%2010:12:16%20GMT	https://freeinstafollowers.top/robots.txt		(from )
11:12:18	21539/21539	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2010:12:17%20GMT	https://freeinstafollowers.top/free-instagram-followers-app/	C:/Users/issam/Desktop/bb/insta/freeinstafollowers.top/free-instagram-followers-app/index.html	(from )
11:12:18	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2002%20Sep%202020%2010:12:18%20GMT	http://www.mywebsiteurl.com/social-share-image.jpg	C:/Users/issam/Desktop/bb/insta/www.mywebsiteurl.com/social-share-image.0.delayed	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:20	11069/11069	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2010:12:20%20GMT	http://ww38.mywebsiteurl.com/social-share-image.jpg	C:/Users/issam/Desktop/bb/insta/ww38.mywebsiteurl.com/social-share-image.html	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:21	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	https://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/Users/issam/Desktop/bb/insta/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:22	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221544639651%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/Users/issam/Desktop/bb/insta/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:23	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/Users/issam/Desktop/bb/insta/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:24	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/Users/issam/Desktop/bb/insta/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:27	15275/15275	---M-Z	200	added ('OK')	text/css	etag:%225eb03fcb-3bab%22	https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	C:/Users/issam/Desktop/bb/insta/cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
11:12:27	5175/5175	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2001:28:22%20GMT	https://freeinstafollowers.top/free-instagram-followers-app/assets/css/style.css	C:/Users/issam/Desktop/bb/insta/freeinstafollowers.top/free-instagram-followers-app/assets/css/style.css	(from https://freeinstafollowers.top/free-instagram-followers-app/)
